Title,Body,Labels,Due Date,Effort,Hours Planned
W28 – Housekeeping: Compiler + Crosswalk + Framework Log,"Update standards compiler dashboard, topic-to-criterion crosswalk, and framework revision history if changed. Fix broken links.","artifact:crosswalk,artifact:framework,phase:audit",2026-09-06,XS,1.0
W29 – JS #57: MIL-STD-1472 clause-related empirical study A,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,std:mil-std-1472",2026-09-13,S,2.0
W29 – JS #58: MIL-STD-1472 clause-related empirical study B,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,std:mil-std-1472",2026-09-13,S,2.0
W29 – Major Artifact Progress: MIL-STD-1472 dossier production,Advance the current monthly major artifact (review/systematic/framework/strategic) by one meaningful section. Verify claims against PDFs.,"phase:draft,artifact:review-article,topic:verification",2026-09-13,M,4.0
W29 – Standards Dossier Progress,Complete one MIL-STD-1472 clause-cluster dossier. Update compiler and crosswalk.,"artifact:standards-dossier,std:mil-std-1472,phase:draft",2026-09-13,M,3.0
W29 – Housekeeping: Compiler + Crosswalk + Framework Log,"Update standards compiler dashboard, topic-to-criterion crosswalk, and framework revision history if changed. Fix broken links.","artifact:crosswalk,artifact:framework,phase:audit",2026-09-13,XS,1.0
W30 – JS #59: MIL-STD-1472 clause-related empirical study A,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,std:mil-std-1472",2026-09-20,S,2.0
W30 – JS #60: MIL-STD-1472 clause-related empirical study B,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,std:mil-std-1472",2026-09-20,S,2.0
W30 – Major Artifact Progress: MIL-STD-1472 dossier production,Advance the current monthly major artifact (review/systematic/framework/strategic) by one meaningful section. Verify claims against PDFs.,"phase:draft,artifact:review-article,topic:verification",2026-09-20,M,4.0
W30 – Standards Dossier Progress,Complete one MIL-STD-1472 clause-cluster dossier. Update compiler and crosswalk.,"artifact:standards-dossier,std:mil-std-1472,phase:draft",2026-09-20,M,3.0
W30 – Housekeeping: Compiler + Crosswalk + Framework Log,"Update standards compiler dashboard, topic-to-criterion crosswalk, and framework revision history if changed. Fix broken links.","artifact:crosswalk,artifact:framework,phase:audit",2026-09-20,XS,1.0
W31 – JS #61: Verification strategy or case study,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:verification",2026-09-27,S,2.0
W31 – JS #62: Cross-standard mapping study,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:verification",2026-09-27,S,2.0
W31 – Major Artifact Progress: Strategic integration (verification + cross-standards),Advance the current monthly major artifact (review/systematic/framework/strategic) by one meaningful section. Verify claims against PDFs.,"phase:draft,artifact:review-article,topic:verification",2026-09-27,M,4.0
W31 – Standards Dossier Progress,Standards dossier maintenance or targeted gap-filling as needed to support strategic integration.,"artifact:standards-dossier,std:mil-std-1472,phase:draft",2026-09-27,M,3.0
W31 – Housekeeping: Compiler + Crosswalk + Framework Log,"Update standards compiler dashboard, topic-to-criterion crosswalk, and framework revision history if changed. Fix broken links.","artifact:crosswalk,artifact:framework,phase:audit",2026-09-27,XS,1.0
W32 – JS #63: Verification strategy or case study,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:verification",2026-10-04,S,2.0
W32 – JS #64: Cross-standard mapping study,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:verification",2026-10-04,S,2.0
W32 – Major Artifact Progress: Strategic integration (verification + cross-standards),Advance the current monthly major artifact (review/systematic/framework/strategic) by one meaningful section. Verify claims against PDFs.,"phase:draft,artifact:review-article,topic:verification",2026-10-04,M,4.0
W32 – Standards Dossier Progress,Standards dossier maintenance or targeted gap-filling as needed to support strategic integration.,"artifact:standards-dossier,std:mil-std-1472,phase:draft",2026-10-04,M,3.0
W32 – Housekeeping: Compiler + Crosswalk + Framework Log,"Update standards compiler dashboard, topic-to-criterion crosswalk, and framework revision history if changed. Fix broken links.","artifact:crosswalk,artifact:framework,phase:audit",2026-10-04,XS,1.0
W33 – JS #65: Verification strategy or case study,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:verification",2026-10-11,S,2.0
W33 – JS #66: Cross-standard mapping study,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:verification",2026-10-11,S,2.0
W33 – Major Artifact Progress: Strategic integration (verification + cross-standards),Advance the current monthly major artifact (review/systematic/framework/strategic) by one meaningful section. Verify claims against PDFs.,"phase:draft,artifact:review-article,topic:verification",2026-10-11,M,4.0
W33 – Standards Dossier Progress,Standards dossier maintenance or targeted gap-filling as needed to support strategic integration.,"artifact:standards-dossier,std:mil-std-1472,phase:draft",2026-10-11,M,3.0
W33 – Housekeeping: Compiler + Crosswalk + Framework Log,"Update standards compiler dashboard, topic-to-criterion crosswalk, and framework revision history if changed. Fix broken links.","artifact:crosswalk,artifact:framework,phase:audit",2026-10-11,XS,1.0
W34 – JS #67: Verification strategy or case study,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:verification",2026-10-18,S,2.0
W34 – JS #68: Cross-standard mapping study,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:verification",2026-10-18,S,2.0
W34 – Major Artifact Progress: Strategic integration (verification + cross-standards),Advance the current monthly major artifact (review/systematic/framework/strategic) by one meaningful section. Verify claims against PDFs.,"phase:draft,artifact:review-article,topic:verification",2026-10-18,M,4.0
W34 – Standards Dossier Progress,Standards dossier maintenance or targeted gap-filling as needed to support strategic integration.,"artifact:standards-dossier,std:mil-std-1472,phase:draft",2026-10-18,M,3.0
W34 – Housekeeping: Compiler + Crosswalk + Framework Log,"Update standards compiler dashboard, topic-to-criterion crosswalk, and framework revision history if changed. Fix broken links.","artifact:crosswalk,artifact:framework,phase:audit",2026-10-18,XS,1.0
W35 – JS #69: Verification strategy or case study,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:verification",2026-10-25,S,2.0
W35 – JS #70: Cross-standard mapping study,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:verification",2026-10-25,S,2.0
W35 – Major Artifact Progress: Strategic integration (verification + cross-standards),Advance the current monthly major artifact (review/systematic/framework/strategic) by one meaningful section. Verify claims against PDFs.,"phase:draft,artifact:review-article,topic:verification",2026-10-25,M,4.0
W35 – Standards Dossier Progress,Standards dossier maintenance or targeted gap-filling as needed to support strategic integration.,"artifact:standards-dossier,std:mil-std-1472,phase:draft",2026-10-25,M,3.0
W35 – Housekeeping: Compiler + Crosswalk + Framework Log,"Update standards compiler dashboard, topic-to-criterion crosswalk, and framework revision history if changed. Fix broken links.","artifact:crosswalk,artifact:framework,phase:audit",2026-10-25,XS,1.0
W36 – JS #71: Verification strategy or case study,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:verification",2026-11-01,S,2.0
W36 – JS #72: Cross-standard mapping study,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:verification",2026-11-01,S,2.0
W36 – Major Artifact Progress: Strategic integration (verification + cross-standards),Advance the current monthly major artifact (review/systematic/framework/strategic) by one meaningful section. Verify claims against PDFs.,"phase:draft,artifact:review-article,topic:verification",2026-11-01,M,4.0
W36 – Standards Dossier Progress,Standards dossier maintenance or targeted gap-filling as needed to support strategic integration.,"artifact:standards-dossier,std:mil-std-1472,phase:draft",2026-11-01,M,3.0
W36 – Housekeeping: Compiler + Crosswalk + Framework Log,"Update standards compiler dashboard, topic-to-criterion crosswalk, and framework revision history if changed. Fix broken links.","artifact:crosswalk,artifact:framework,phase:audit",2026-11-01,XS,1.0
W37 – JS #73: Promotion narrative / competency evidence source,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,artifact:repo-admin",2026-11-08,S,2.0
W37 – JS #74: Process/impact evidence source,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,artifact:repo-admin",2026-11-08,S,2.0
W37 – Major Artifact Progress: Promotion synthesis + closeout,Advance the current monthly major artifact (review/systematic/framework/strategic) by one meaningful section. Verify claims against PDFs.,"phase:draft,artifact:repo-admin",2026-11-08,M,4.0
W37 – Standards Dossier Progress,Standards dossier maintenance or targeted gap-filling as needed to support strategic integration.,"artifact:standards-dossier,std:mil-std-1472,phase:draft",2026-11-08,M,3.0
W37 – Housekeeping: Compiler + Crosswalk + Framework Log,"Update standards compiler dashboard, topic-to-criterion crosswalk, and framework revision history if changed. Fix broken links.","artifact:crosswalk,artifact:framework,phase:audit",2026-11-08,XS,1.0
W38 – JS #75: Promotion narrative / competency evidence source,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,artifact:repo-admin",2026-11-15,S,2.0
W38 – JS #76: Process/impact evidence source,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,artifact:repo-admin",2026-11-15,S,2.0
W38 – Major Artifact Progress: Promotion synthesis + closeout,Advance the current monthly major artifact (review/systematic/framework/strategic) by one meaningful section. Verify claims against PDFs.,"phase:draft,artifact:repo-admin",2026-11-15,M,4.0
W38 – Standards Dossier Progress,Standards dossier maintenance or targeted gap-filling as needed to support strategic integration.,"artifact:standards-dossier,std:mil-std-1472,phase:draft",2026-11-15,M,3.0
W38 – Housekeeping: Compiler + Crosswalk + Framework Log,"Update standards compiler dashboard, topic-to-criterion crosswalk, and framework revision history if changed. Fix broken links.","artifact:crosswalk,artifact:framework,phase:audit",2026-11-15,XS,1.0
W39 – JS #77: Promotion narrative / competency evidence source,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,artifact:repo-admin",2026-11-22,S,2.0
W39 – JS #78: Process/impact evidence source,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,artifact:repo-admin",2026-11-22,S,2.0
W39 – Major Artifact Progress: Promotion synthesis + closeout,Advance the current monthly major artifact (review/systematic/framework/strategic) by one meaningful section. Verify claims against PDFs.,"phase:draft,artifact:repo-admin",2026-11-22,M,4.0
W39 – Standards Dossier Progress,Standards dossier maintenance or targeted gap-filling as needed to support strategic integration.,"artifact:standards-dossier,std:mil-std-1472,phase:draft",2026-11-22,M,3.0
W39 – Housekeeping: Compiler + Crosswalk + Framework Log,"Update standards compiler dashboard, topic-to-criterion crosswalk, and framework revision history if changed. Fix broken links.","artifact:crosswalk,artifact:framework,phase:audit",2026-11-22,XS,1.0
W40 – JS #79: Promotion narrative / competency evidence source,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,artifact:repo-admin",2026-11-29,S,2.0
W40 – JS #80: Process/impact evidence source,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,artifact:repo-admin",2026-11-29,S,2.0
W40 – Major Artifact Progress: Promotion synthesis + closeout,Advance the current monthly major artifact (review/systematic/framework/strategic) by one meaningful section. Verify claims against PDFs.,"phase:draft,artifact:repo-admin",2026-11-29,M,4.0
W40 – Standards Dossier Progress,Standards dossier maintenance or targeted gap-filling as needed to support strategic integration.,"artifact:standards-dossier,std:mil-std-1472,phase:draft",2026-11-29,M,3.0
W40 – Housekeeping: Compiler + Crosswalk + Framework Log,"Update standards compiler dashboard, topic-to-criterion crosswalk, and framework revision history if changed. Fix broken links.","artifact:crosswalk,artifact:framework,phase:audit",2026-11-29,XS,1.0
MILESTONE – Complete Workload Review v1,"Finalize workload review, run audit, and tag release.","artifact:review-article,topic:workload,phase:audit",2026-03-22,L,8.0
MILESTONE – Complete Workload Systematic Review,"Finalize systematic review, run audit, archive extraction table.","artifact:systematic-review,topic:workload,phase:audit",2026-04-30,L,8.0
MILESTONE – Complete SA Review v1,"Finalize SA review, run audit.","artifact:review-article,topic:situational-awareness,phase:audit",2026-05-31,L,8.0
MILESTONE – HE Airworthiness Framework v1.0 (Due July 1),Finalize framework v1.0 with MoC decision logic and governance gates. Run audit.,"artifact:framework,phase:audit",2026-07-01,XL,12.0
MILESTONE – Sept Mastery Evidence Package (Due Sept 1),Compile artifacts demonstrating mastery; link to competencies and goals.,"artifact:repo-admin,phase:audit",2026-09-01,L,8.0
MILESTONE – Promotion Synthesis Brief Draft,Draft concise synthesis mapping outputs to competencies and impact.,"artifact:repo-admin,phase:draft",2026-11-15,M,4.0
MILESTONE – Promotion Synthesis Brief Final + Full Repo Audit,"Finalize brief; audit compiler, crosswalks, and broken links.","artifact:repo-admin,phase:audit",2026-11-30,XL,12.0
